business name,rating,review text
Bennie Restaurant & Bar,8.0,
Bennie Restaurant & Bar,5.0,"If you want amazing food in a laid back atmosphere highly recommend. The lamb rack was really tender, octopus was delicious and cooked perfectly and highly recommend the salmon tartare, so fresh! I agree with others that the branding makes it seem like another trashy chain restaurant but the reality was v different on arrival. It is a laid back atmosphere so don't expect michelin star service but the food was one of my favourite eats in London all year and all done to a great standard."
Bennie Restaurant & Bar,4.0,"Bennie Restaurant and Bar — a small and quiet spot with friendly service. The La Plancha king prawns were tasty and well-cooked, though the scallops fell a bit short of expectations. A cozy place for a casual bite, but not a must-return. Maybe it’s better for Breakfast."
Bennie Restaurant & Bar,5.0,"European fusion from France to Georgia. A great selection of wines. The baked zucchini flowers are unforgettable! Lovely live music and excellent service. We celebrated a birthday here, and it felt incredibly cozy and warm."
Bennie Restaurant & Bar,5.0,"Firstly, a huge thanks and praise to Adi who was very attentive, helpful and provided 5-stars standards service us! He is a superstar especially with his recommendations. While we first thought our table by the door & DJ was not the best, we got to enjoy where we were in the end. The food from starters to dessert was delectable! Compliments to the chef and team. Anastasia was also provided a great service. Definitely a place we’re going to dine again in the future and will highly recommend."
Bennie Restaurant & Bar,5.0,"Can’t fault a thing, great decor with also a few seats out front, food was great I very much enjoyed the octopus with a delicious chimichurri sauce complementing the sweet potato purée extremely well (the cheesecake dessert was perhaps a bit underwhelming), but really the service is worth calling out, the waiters even offered another cocktail on the house! Thank you and will be back."
Bennie Restaurant & Bar,5.0,"Out of this world food ,service, drinks a made by bartender who is very creative and professional, thank you Vlad.
Atmosphere is amazing and changes depending on the time of the day. DEFINITELY my Favorite spot to eat in London."
Bennie Restaurant & Bar,5.0,"Bennie's Restaurant and Bar offers a delightful dining experience. The atmosphere is warm and inviting, perfect for a casual meal or a more celebratory occasion. The menu features a good selection of dishes, with a focus on fresh, high-quality ingredients. I particularly enjoyed the scallops and steak. The portions were generous, and the presentation was appealing. Service was attentive and friendly, making the entire meal a pleasant experience. A definite recommendation for those looking for a satisfying and enjoyable dining experience in London."
Bennie Restaurant & Bar,5.0,"Great spot in the heart of Fitzrovia, food was absolutely delicious from starters 🥗to cocktails 🍸 , welcoming was super cozy, service was excellent. Highly recommend for date nights, brunch and family gatherings 👍🧡"
Bennie Restaurant & Bar,5.0,"The look of the actual menu online doesn't do this place justice (a 90s looking diners menu but a clean, spacious restaurant in person). We were pleasantly surprised by this restaurant today and enjoyed a team lunch for 10 people. Food was great quality, staff were friendly and we also enjoyed a discounted price due to booking online. Would definitely return and no complaints on food. Serving sizes were large as well, which was a plus. Great for big groups and those with dietary requirements"
Bennie Restaurant & Bar,5.0,"The food was delicious and good presentation. I would recommend it. Price is good, the portion size fills you up nicely."
Bennie Restaurant & Bar,5.0,Had some lovely seafood pasta here and my friend loved her food as well. Service was good and friendly. Would definitely return.
Bennie Restaurant & Bar,5.0,"Delicious food and good service in a pretty setting.
The braised lamb is a must, so tender. Also really enjoyed the beef short rib and fried aubergine. Crispy mushrooms did not disappoint either - they lived up to the name!
Also got the short rib, burrata and fries which were more than enough.
Would recommend!"
